order_id,order_date,customer_id,product_id,quantity,discount
O1001,2026-01-05,C001,P001,1,0.05
O1002,2026-01-08,C002,P003,3,0.10
O1003,2026-01-14,C003,P005,4,0.00
O1004,2026-01-21,C004,P004,2,0.05
O1005,2026-02-03,C005,P002,4,0.08
O1006,2026-02-09,C006,P006,5,0.00
O1007,2026-02-18,C007,P007,2,0.10
O1008,2026-02-25,C008,P008,20,0.05
O1009,2026-03-02,C009,P001,1,0.00
O1010,2026-03-11,C010,P002,3,0.05
O1011,2026-03-16,C001,P005,6,0.10
O1012,2026-03-21,C002,P004,3,0.00
O1013,2026-04-04,C003,P003,2,0.05
O1014,2026-04-10,C004,P001,1,0.08
O1015,2026-04-19,C005,P007,3,0.10
O1016,2026-05-02,C006,P008,30,0.00
O1017,2026-05-09,C007,P002,2,0.05
O1018,2026-05-17,C008,P003,1,0.00
O1019,2026-06-01,C009,P005,8,0.10
O1020,2026-06-14,C010,P001,1,0.05
